ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
ApplicationController, break_facebook_looker, a, | Teste
ApplicationController, break_facebook_looker, | 
Teste, method, b, | User
Teste, method, | Koala::Facebook::API
